Brigada,ID,Asignatura,Año,Nota
M1,1,Historia de Cuba,1,
M1,2,Historia de Cuba,1,
M1,3,Historia de Cuba,1,
M1,4,Historia de Cuba,1,
M1,5,Historia de Cuba,1,
M1,6,Historia de Cuba,1,
M1,7,Historia de Cuba,1,
M1,8,Historia de Cuba,1,
M1,9,Historia de Cuba,1,
M1,10,Historia de Cuba,1,
M1,11,Historia de Cuba,1,
M1,12,Historia de Cuba,1,
M1,13,Historia de Cuba,1,
M1,14,Historia de Cuba,1,
M1,15,Historia de Cuba,1,
M1,16,Historia de Cuba,1,
M1,17,Historia de Cuba,1,
M1,18,Historia de Cuba,1,
M1,19,Historia de Cuba,1,
M1,20,Historia de Cuba,1,
M1,21,Historia de Cuba,1,
M1,22,Historia de Cuba,1,
M1,23,Historia de Cuba,1,
M1,24,Historia de Cuba,1,
M1,25,Historia de Cuba,1,
M1,26,Historia de Cuba,1,
M2,1,Historia de Cuba,1,
M2,2,Historia de Cuba,1,
M2,3,Historia de Cuba,1,
M2,4,Historia de Cuba,1,
M2,5,Historia de Cuba,1,
M2,6,Historia de Cuba,1,
M2,7,Historia de Cuba,1,
M2,8,Historia de Cuba,1,
M2,9,Historia de Cuba,1,
M2,10,Historia de Cuba,1,
M2,11,Historia de Cuba,1,
M2,12,Historia de Cuba,1,
M2,13,Historia de Cuba,1,
M2,14,Historia de Cuba,1,
M3,1,Historia de Cuba,1,
M3,2,Historia de Cuba,1,
M3,3,Historia de Cuba,1,
M3,4,Historia de Cuba,1,
M3,5,Historia de Cuba,1,
M3,6,Historia de Cuba,1,
M3,7,Historia de Cuba,1,
M3,8,Historia de Cuba,1,
M3,9,Historia de Cuba,1,
M3,10,Historia de Cuba,1,
M3,11,Historia de Cuba,1,
M3,12,Historia de Cuba,1,
M4,1,Historia de Cuba,1,
M4,2,Historia de Cuba,1,
M4,3,Historia de Cuba,1,
M4,4,Historia de Cuba,1,
M4,5,Historia de Cuba,1,
M4,6,Historia de Cuba,1,
M4,7,Historia de Cuba,1,
M4,8,Historia de Cuba,1,
D1,1,Historia de Cuba,1,2.0
D1,2,Historia de Cuba,1,4.0
D1,3,Historia de Cuba,1,3.0
D1,4,Historia de Cuba,1,4.0
D1,5,Historia de Cuba,1,3.0
D1,6,Historia de Cuba,1,5.0
D1,7,Historia de Cuba,1,4.0
D1,8,Historia de Cuba,1,4.0
D1,9,Historia de Cuba,1,4.0
