Facultad,Carrera,ID_Estudiante,Brigada,Semestre,Respeto a los horarios,Disponibilidad de aulas,Facilidad para el E.I.,Bibliografía/Internet,Carga de trabajo,Ocio
MATCOM,Matemática,MATCOM-MAT-0001,MA6,2025-2,9,6,6,7,7,8
MATCOM,Matemática,MATCOM-MAT-0002,MA3,2025-2,7,8,4,9,6,5
MATCOM,Matemática,MATCOM-MAT-0003,MA6,2025-2,6,4,9,6,9,9
MATCOM,Matemática,MATCOM-MAT-0004,MA1,2025-2,4,6,5,5,6,6
MATCOM,Matemática,MATCOM-MAT-0005,MA6,2025-2,7,7,4,7,9,5
MATCOM,Matemática,MATCOM-MAT-0006,MA2,2025-2,6,8,5,8,7,5
MATCOM,Matemática,MATCOM-MAT-0007,MA3,2025-2,5,7,4,4,7,5
MATCOM,Matemática,MATCOM-MAT-0008,MA8,2025-2,8,8,8,6,6,4
MATCOM,Matemática,MATCOM-MAT-0009,MA7,2025-2,7,6,5,9,8,8
MATCOM,Matemática,MATCOM-MAT-0010,MA1,2025-2,4,8,6,5,7,8
MATCOM,Matemática,MATCOM-MAT-0011,MA5,2025-2,6,8,5,6,7,5
MATCOM,Matemática,MATCOM-MAT-0012,MA2,2025-2,7,6,8,5,6,4
MATCOM,Matemática,MATCOM-MAT-0013,MA5,2025-2,5,4,6,7,4,9
MATCOM,Matemática,MATCOM-MAT-0014,MA2,2025-2,5,4,5,9,7,7
MATCOM,Matemática,MATCOM-MAT-0015,MA5,2025-2,7,6,5,6,8,4
MATCOM,Matemática,MATCOM-MAT-0016,MA5,2025-2,4,6,9,5,4,8
MATCOM,Matemática,MATCOM-MAT-0017,MA5,2025-2,6,5,6,6,7,7
MATCOM,Matemática,MATCOM-MAT-0018,MA2,2025-2,5,4,9,7,7,7
MATCOM,Matemática,MATCOM-MAT-0019,MA8,2025-2,9,9,8,7,8,7
MATCOM,Matemática,MATCOM-MAT-0020,MA3,2025-2,7,6,7,9,6,9
MATCOM,Matemática,MATCOM-MAT-0021,MA2,2025-2,4,7,6,7,6,7
MATCOM,Matemática,MATCOM-MAT-0022,MA2,2025-2,5,6,7,6,9,4
MATCOM,Matemática,MATCOM-MAT-0023,MA9,2025-2,8,5,5,8,8,9
MATCOM,Matemática,MATCOM-MAT-0024,MA4,2025-2,6,8,6,9,8,6
MATCOM,Matemática,MATCOM-MAT-0025,MA7,2025-2,8,5,9,7,8,6
MATCOM,Matemática,MATCOM-MAT-0026,MA3,2025-2,6,4,9,4,6,9
MATCOM,Matemática,MATCOM-MAT-0027,MA4,2025-2,7,7,6,5,6,7
MATCOM,Matemática,MATCOM-MAT-0028,MA4,2025-2,9,8,5,9,9,9
MATCOM,Matemática,MATCOM-MAT-0029,MA5,2025-2,8,7,8,9,7,8
MATCOM,Matemática,MATCOM-MAT-0030,MA1,2025-2,5,4,8,4,8,8
MATCOM,Matemática,MATCOM-MAT-0031,MA5,2025-2,7,5,7,8,8,5
MATCOM,Matemática,MATCOM-MAT-0032,MA7,2025-2,9,8,6,4,8,7
MATCOM,Matemática,MATCOM-MAT-0033,MA3,2025-2,5,6,4,6,4,5
MATCOM,Matemática,MATCOM-MAT-0034,MA9,2025-2,8,7,5,6,6,4
MATCOM,Matemática,MATCOM-MAT-0035,MA1,2025-2,5,9,4,9,4,8
MATCOM,Matemática,MATCOM-MAT-0036,MA6,2025-2,9,9,5,7,4,5
