Facultad,Carrera,ID_Estudiante,Asignatura,Semestre,Nota,Créditos,Profesor
MATCOM,Matemática,MATCOM-MAT-0001,Cálculo,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0001,Estadística,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0001,Bases de Datos,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0001,Metodología de la Investigación,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0001,Idioma Inglés,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0002,Bases de Datos,2025-2,4,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0002,Estadística,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0002,Programación,2025-2,3,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0002,Metodología de la Investigación,2025-2,5,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0002,Idioma Inglés,2025-2,3,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0003,Bases de Datos,2025-2,3,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0003,Álgebra,2025-2,4,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0003,Estadística,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0003,Educación Física,2025-2,3,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0003,Idioma Inglés,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0003,Filosofía,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0004,Programación,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0004,Álgebra,2025-2,4,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0004,Cálculo,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0004,Idioma Inglés,2025-2,3,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0004,Historia de Cuba,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0005,Álgebra,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0005,Cálculo,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0005,Programación,2025-2,2,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0005,Filosofía,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0005,Metodología de la Investigación,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0005,Educación Física,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0006,Bases de Datos,2025-2,5,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0006,Cálculo,2025-2,3,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0006,Álgebra,2025-2,5,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0006,Idioma Inglés,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0006,Historia de Cuba,2025-2,5,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0007,Programación,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0007,Estadística,2025-2,4,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0007,Álgebra,2025-2,5,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0007,Historia de Cuba,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0007,Idioma Inglés,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0008,Álgebra,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0008,Programación,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0008,Bases de Datos,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0008,Educación Física,2025-2,2,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0008,Idioma Inglés,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0009,Álgebra,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0009,Programación,2025-2,3,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0009,Cálculo,2025-2,3,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0009,Idioma Inglés,2025-2,5,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0009,Filosofía,2025-2,2,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0010,Cálculo,2025-2,5,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0010,Programación,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0010,Álgebra,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0010,Metodología de la Investigación,2025-2,5,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0010,Idioma Inglés,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0010,Filosofía,2025-2,5,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0010,Historia de Cuba,2025-2,2,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0011,Programación,2025-2,5,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0011,Bases de Datos,2025-2,4,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0011,Estadística,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0011,Metodología de la Investigación,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0011,Historia de Cuba,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0011,Idioma Inglés,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0011,Educación Física,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0012,Bases de Datos,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0012,Cálculo,2025-2,3,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0012,Programación,2025-2,5,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0012,Filosofía,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0012,Idioma Inglés,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0013,Bases de Datos,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0013,Programación,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0013,Cálculo,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0013,Metodología de la Investigación,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0013,Filosofía,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0013,Historia de Cuba,2025-2,3,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0014,Programación,2025-2,3,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0014,Álgebra,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0014,Bases de Datos,2025-2,2,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0014,Idioma Inglés,2025-2,2,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0014,Filosofía,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0015,Estadística,2025-2,3,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0015,Cálculo,2025-2,3,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0015,Álgebra,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0015,Metodología de la Investigación,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0015,Filosofía,2025-2,5,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0015,Historia de Cuba,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0015,Idioma Inglés,2025-2,3,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0016,Álgebra,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0016,Cálculo,2025-2,4,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0016,Bases de Datos,2025-2,3,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0016,Educación Física,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0016,Idioma Inglés,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0016,Historia de Cuba,2025-2,3,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0017,Estadística,2025-2,2,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0017,Bases de Datos,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0017,Cálculo,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0017,Metodología de la Investigación,2025-2,2,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0017,Filosofía,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0017,Idioma Inglés,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0018,Álgebra,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0018,Estadística,2025-2,4,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0018,Cálculo,2025-2,4,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0018,Idioma Inglés,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0018,Metodología de la Investigación,2025-2,3,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0018,Historia de Cuba,2025-2,2,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0018,Educación Física,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0019,Programación,2025-2,4,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0019,Álgebra,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0019,Cálculo,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0019,Metodología de la Investigación,2025-2,3,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0019,Educación Física,2025-2,5,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0020,Álgebra,2025-2,2,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0020,Programación,2025-2,2,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0020,Cálculo,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0020,Metodología de la Investigación,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0020,Filosofía,2025-2,2,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0021,Cálculo,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0021,Programación,2025-2,4,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0021,Bases de Datos,2025-2,3,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0021,Metodología de la Investigación,2025-2,4,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0021,Filosofía,2025-2,2,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0021,Educación Física,2025-2,5,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0021,Idioma Inglés,2025-2,4,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0022,Álgebra,2025-2,3,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0022,Estadística,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0022,Cálculo,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0022,Idioma Inglés,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0022,Educación Física,2025-2,3,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0022,Historia de Cuba,2025-2,5,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0022,Filosofía,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0023,Bases de Datos,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0023,Álgebra,2025-2,4,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0023,Cálculo,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0023,Filosofía,2025-2,4,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0023,Idioma Inglés,2025-2,2,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0024,Programación,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0024,Bases de Datos,2025-2,5,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0024,Álgebra,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0024,Educación Física,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0024,Metodología de la Investigación,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0024,Idioma Inglés,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0024,Historia de Cuba,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0025,Cálculo,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0025,Programación,2025-2,5,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0025,Estadística,2025-2,4,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0025,Educación Física,2025-2,3,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0025,Metodología de la Investigación,2025-2,4,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0026,Cálculo,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0026,Álgebra,2025-2,3,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0026,Estadística,2025-2,5,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0026,Filosofía,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0026,Idioma Inglés,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0026,Educación Física,2025-2,2,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0026,Metodología de la Investigación,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0027,Álgebra,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0027,Estadística,2025-2,2,3,Prof. García
